2-23/-27 Bible. Biblistika	5 Filozofie a náboženství	2 Náboženství
2-74 Náboženské právo. Církevní právo	5 Filozofie a náboženství	2 Náboženství
21 Prehistorická a primitivní náboženství	5 Filozofie a náboženství	21 Prehistorická a primitivní náboženství
22/24 Náboženství Dálného východu. Indická náboženství. Hinduismus. Buddhismus	5 Filozofie a náboženství	22/24 Náboženství Dálného východu. Indická náboženství. Hinduismus. Buddhismus
25 Náboženství, mytologie, kulty	5 Filozofie a náboženství	25 Náboženství, mytologie, kulty
26 Judaismus	5 Filozofie a náboženství	26 Judaismus
27 Křesťanství. Křesťanská církev všeobecně. Eklesiologie	5 Filozofie a náboženství	27 Křesťanství. Křesťanská církev všeobecně. Eklesiologie
27-1/-2 Křesťanská teologie. Dogmatická teologie	5 Filozofie a náboženství	27 Křesťanství. Křesťanská církev všeobecně. Eklesiologie
27-4 Praktická teologie. Morální teologie	5 Filozofie a náboženství	27 Křesťanství. Křesťanská církev všeobecně. Eklesiologie
27-46/-48 Pastorální teologie	5 Filozofie a náboženství	27 Křesťanství. Křesťanská církev všeobecně. Eklesiologie
27-5 Liturgie. Křesťanské umění a symbolika. Duchovní život	5 Filozofie a náboženství	27 Křesťanství. Křesťanská církev všeobecně. Eklesiologie
27-78 Křesťanská sdružení, spolky a organizace. Řeholní řády	5 Filozofie a náboženství	27 Křesťanství. Křesťanská církev všeobecně. Eklesiologie
27-9 Dějiny křesťanské církve	5 Filozofie a náboženství	27 Křesťanství. Křesťanská církev všeobecně. Eklesiologie
271/279 Křesťanské církve, sekty, denominace	5 Filozofie a náboženství	27 Křesťanství. Křesťanská církev všeobecně. Eklesiologie
28 Islám	5 Filozofie a náboženství	28 Islám
29 Moderní duchovní hnutí	5 Filozofie a náboženství	29 Moderní duchovní hnutí
006 Metrologie. Standardizace	6 Fyzika a příbuzné vědy	006 Metrologie. Standardizace
006.95 Chronologie	6 Fyzika a příbuzné vědy	006 Metrologie. Standardizace
5 Přírodní vědy. Matematické vědy	6 Fyzika a příbuzné vědy	5 Přírodní vědy. Matematické vědy
52 Astronomie	6 Fyzika a příbuzné vědy	52 Astronomie
520 Astronomické přístroje a metody	6 Fyzika a příbuzné vědy	52 Astronomie
521 Teoretická astronomie. Nebeská mechanika	6 Fyzika a příbuzné vědy	52 Astronomie
523/524 Sluneční soustava. Hvězdy. Vesmír	6 Fyzika a příbuzné vědy	52 Astronomie
523.3 Země	6 Fyzika a příbuzné vědy	52 Astronomie
53 Fyzika	6 Fyzika a příbuzné vědy	53 Fyzika
Mechanika	6 Fyzika a příbuzné vědy	Mechanika
531 Obecná mechanika. Mechanika pevných a tuhých těles	6 Fyzika a příbuzné vědy	Mechanika
532 Mechanika tekutin obecně. Mechanika kapalin	6 Fyzika a příbuzné vědy	Mechanika
533 Mechanika plynů. Aeromechanika. Fyzika plazmatu	6 Fyzika a příbuzné vědy	Mechanika
534 Mechanické kmity. Akustika	6 Fyzika a příbuzné vědy	534 Mechanické kmity. Akustika
535 Optika	6 Fyzika a příbuzné vědy	535 Optika
536 Teplo. Termodynamika	6 Fyzika a příbuzné vědy	536 Teplo. Termodynamika
537 Elektřina	6 Fyzika a příbuzné vědy	537 Elektřina
537.6/.8 Magnetismus. Elektromagnetismus	6 Fyzika a příbuzné vědy	537 Elektřina
539 Fyzikální stavba hmoty. Jaderná fyzika. Molekulární fyzika	6 Fyzika a příbuzné vědy	539 Fyzikální stavba hmoty. Jaderná fyzika. Molekulární fyzika
528 Geodezie. Kartografie	7 Geografie. Geologie. Vědy o Zemi	528 Geodezie. Kartografie
549 Mineralogie	7 Geografie. Geologie. Vědy o Zemi	549 Mineralogie
55 Vědy o Zemi. Geologické vědy	7 Geografie. Geologie. Vědy o Zemi	55 Vědy o Zemi. Geologické vědy
550 Geofyzika. Geochemie. Geobiologie. Užitá geologie	7 Geografie. Geologie. Vědy o Zemi	55 Vědy o Zemi. Geologické vědy
551 Geologie. Meteorologie. Klimatologie	7 Geografie. Geologie. Vědy o Zemi	55 Vědy o Zemi. Geologické vědy
552 Petrologie	7 Geografie. Geologie. Vědy o Zemi	55 Vědy o Zemi. Geologické vědy
553 Ložisková geologie	7 Geografie. Geologie. Vědy o Zemi	55 Vědy o Zemi. Geologické vědy
556 Hydrologie	7 Geografie. Geologie. Vědy o Zemi	55 Vědy o Zemi. Geologické vědy
56 Paleontologie	7 Geografie. Geologie. Vědy o Zemi	56 Paleontologie
91 Geografie jako věda. Výzkum. Cestování	7 Geografie. Geologie. Vědy o Zemi	91 Geografie jako věda. Výzkum. Cestování
911 Obecná geografie. Systematická geografie	7 Geografie. Geologie. Vědy o Zemi	91 Geografie jako věda. Výzkum. Cestování
912 Mapy. Atlasy. Glóby	7 Geografie. Geologie. Vědy o Zemi	912 Mapy. Atlasy. Glóby
